"2","207 2012","2","2","1","93","Pastrimi i objekteve të Komunës dhe QKMF-së- Vazhdimi i kontratës deri në përzgjedhjen e OE të ri ANEKS 4 muaj","05.01.2015","","","21562.56","NShT ECD Rinori","","1","",""
"2","76 2014","2","2","1","93","Pastrimi i objektit të QShP në QKMF, ANEKS (6.5 muaj)","05.01.2015","","","7020","NShT Clean","","1","",""
"1","1","2","3","6","28","Rregullimi i nxemjes qendorore dhe furnizimi me pjesë për disa shkolla dhe QKMF Ferizaj","13.01.2015","8000","8090","0","NTP Hidro term-Sh","","1","1","1"
"2","108 2012","5","2","1","45","Rregullimi i kanal.atmosferik në rr. Kuvendi i Arbërit  k.bazë 2013- /Aneks kontratë/","20.01.2015","","","11279.69","Murseli company Sh.P.K.","","1","",""
"1","4","2","3","6","93","Pastrimi  automjeteve zyrtare të Komunës","26.02.2015","2000","7425","0","NTP Delolli","","1","1","1"
"1","32","1","3","6","93","Mbushja e aparateve kundër zjarrit","01.03.2015","5000","9488.5","0","DPZ Euro servisi","","1","1","1"
"2","3","2","2","1","93","Pastrimi dhe mirëmbajtja e objektit të Komunës dhe inst.tjera që funksionojnë në kuadër të Komunës","16.03.2015","85000","8657.360000000001","","NSh Clean","","1","1","1"
"2","10","5","2","1","45","Ndërtimi i gypujësjellësit primar në fsh. Cërrnillë","19.03.2015","80000","57952.13","5632.2","Berisha company Sh.A.","","1","1","1"
"1","24","2","3","6","73","Studimi i fizibilitetit për termofikimin e Ferizajt","19.03.2015","10000","9900","0","I.Sh.T. Intech","","1","1","1"
"1","62","1","3","6","01","Furnizimi dhe mbjellja e luleve në qytet","20.03.2015","10000","9582.5","0","NTP Agro coop","","1","1","1"
"1","61","1","3","6","27","Furnizimi me materijal dhe ndër.i aneksit të shtëpisë për Raif Jakaj","20.03.2015","9350","9361.190000000001","0","Euro betoni","","1","1","1"
